,Company Name,Industry,City,State,LIEmployees,Company Type,Description,Website,Specialties
10,HID Global,Security and Investigations,Austin,TX,1700,Privately Held,"HID powers the trusted identities of the world's people, places and things. 

Every day millions of people in more than 100 countries use our products and services to securely access physical and digital places. Over 2 billion things that need to be identified, verified and tracked are connected through HID Global’s technology.

We make it possible for people to transact safely, work productively and travel freely. 

We work with governments, universities, hospitals, financial institutions and some of the most innovative companies on the planet—helping them to create trusting and trusted physical and digital environments so that they and the people who use them can fulfill their potential.

Headquartered in Austin, Texas, HID Global has over 2,200 employees worldwide and operates international offices that support more than 100 countries. HID Global® is an ASSA ABLOY Group brand. For more information, visit www.hidglobal.com.",http://www.hidglobal.com,"['HID cards', ' readers and access controllers', ' LaserCard and HID eGOV products', ' ActivIdentity and HID logical access products', ' HID embedded reader boards and modules', ' FARGO printers and Asure ID software', ' Cards and inlays', ' RFID transponders', ' and Value added services']"
11,UTC Fire & Security,Security and Investigations,Farmington,Connecticut,2235,Public Company,"At UTC Fire & Security, we're working hard to make the world a safer place. Through our portfolio of market-leading brands we deliver a full-range of fire safety and security solutions to a diverse customer-base around the world. And through the drive and determination of our employees we ensure that our legacy of quality and innovation continues to grow.  

At UTC Fire & Security, we take great pride in being industry leaders. From the patent of the Chubb Detector Lock in 1818 to Kidde's development of the world's first wireless networked smoke detectors in 2004, our history is rich with innovations. 

Our portfolio of market-leading brands includes: 

Chubb — Founded in 1818, Chubb is a continued leader in fire safety and security, with market leadership in the UK, Australia, South Africa, Singapore and Canada.

Kidde — Renowned for its global leadership in fire detection and suppression, Kidde provides solutions ranging from portable fire extinguishers to advanced industrial controls such as flame detection and explosion suppression systems. 

Onity — As the world leader in electronic security, Onity supports the hospitality industry and other vertical markets with products that include electronic locks, in-room safes and energy management solutions. 

Lenel — Lenel is a leading provider of software and integrated systems for the corporate security market and the government security market.",http://www.utcfireandsecurity.com,"['Electronic Security', ' CCTV', ' Access Control', ' Fire detection', ' Fire suppression', ' and Combustion Control']"
12,STANLEY Security,Security and Investigations,Fishers,Indiana,4053,Public Company,"STANLEY Security is a Global division of Stanley Black & Decker - Who relies on us? Schools, hospitals, and governments, to start. The world’s largest retailers, financial service institutions, and airports do too. Chances are, so do you. There’s a good chance you in some way relied on the blanket of security that Stanley provides. Chances are, you didn’t notice us. We don’t mind. That’s the way security should be.

Check out our website!  You're invited to become part of a team that takes pride in the products that we build and the customers we service.",http://www.stanleysecurity.com,"['Video Surveillance', ' Fire Protection', ' Intrusion Detection', ' 24 Hour UL & FM Approved Monitoring', ' System Design', ' Installation', ' Service', ' Maintenance', ' Software Support', ' Integration', ' Consultation', ' and Access Control']"
13,Hikvision USA,Security and Investigations,City of Industry,California,279,Privately Held,"Hikvision is the world’s leading supplier of video surveillance solutions. Featuring the industry’s strongest R&D workforce, Hikvision designs, develops, and manufactures innovative standard- and high-definition cameras, including a variety of Smart IP cameras with infrared, wide dynamic range, facial detection, object counting, and intrusion detection capabilities; box, bullet, dome, and turret analog cameras with vandal-resistant properties; and cameras featuring the latest in high-definition analog technology that are ideal for analog-to-digital migration. 

Hikvision’s product suite also includes digital video servers, hybrid and standalone DVRs, NVRs, speed domes, encoders, decoders, and other elements of sophisticated security systems and CCTV technology for both indoor and outdoor use.  Renowned across the globe, Hikvision systems are currently installed in more than 100 countries on six continents. These cutting-edge solutions serve a diverse group of vertical markets, including government, retail, banking and finance, transportation, healthcare, gaming, education, commercial and residential applications. Hikvision has global operations with regional offices in the United States, Canada, the Netherlands, Italy, United Kingdom, Russia, Singapore, South Korea, Australia, Brazil, South Africa and Dubai, a joint venture in India, a global service center in Hong Kong, and thousands of partners around the world to achieve truly global success. 

For more information, visit overseas.hikvision.com/us.",https://us.hikvision.com,"['Video Surveillance Equipment', ' Security', ' IP Cameras', ' VMS', ' DVRs and NVRs', ' CCTV', ' Network Storage', ' Encoders and Decoders', ' Surveillance Monitors', ' Network Keyboards', ' Mounts and Adapters', ' Video Management Software', ' and Servers']"
14,CCL Forensics,Security and Investigations,Stratford upon Avon,West Midlands,30,Privately Held,"CCL have established their position as a market leader over the past 30 years providing Digital Forensics, e-Disclosure & Cyber Security services in the UK and at an international level. They have developed these services due to market demand by utilising both commercial software packages & an advanced in-house R&D team. They can supply analysis in-line with existing working process but really excel when challenged with developing more complex capabilities around obscure & emerging technologies and applications. 

Their e-Disclosure services are the result of their experience in the world of digital forensics. A forensic approach ensures that crucial data is not overlooked & that evidence is defensible in court. It also ensures that metadata is preserved, which can prove critical to subsequent processing, indexing & the time line production of the data during review.

As businesses realise how central data is to their operations, so too comes the importance of cyber security in protecting this valuable asset. There is a common misconception that investment in sophisticated technical solutions will ensure protection from cyber-attacks. This is only one part of an effective defence. CCL’s cyber strategy takes organisations through the three stages of building an effective strategic response:
1. Assessing the threat & risk against organisational strategy to identify vulnerabilities
2. Taking protective action – prioritisation of mitigation against identified vulnerabilities to enhance security infrastructure & incident response
3. Monitoring & evaluating – initiate protective monitoring, testing & exercising to support effective remediation

CCL Forensics Ltd holds both ISO27001 & ISO9001 certification. They also hold the most comprehensive ISO17025 accreditation scope for the forensic extraction & analysis of data in the UK & have been recommended for the FSR's Codes of Practice & Conduct.

To find out more visit our website: www.cclgroupltd.com",https://www.cclgroupltd.com/,"['Digital Forensics', ' Electronic Disclosure', ' IT Consultancy', ' Training', ' Software', ' Cyber Security', ' ISO 17025', ' Cell-Site Analysis', ' Mobile Phone Forensics', ' Computer Forensics', ' and Cyber Strategy']"
15,IntaForensics,Security and Investigations,Nuneaton,Warwickshire,39,Privately Held,"IntaForensics provides independent Digital Forensics, Expert Witness, Cyber Security, Incident Response and Data Recovery to all sectors within the UK, Europe and internationally.

Our services are used throughout the UK by law enforcement and commercial organisations. Our software products are also in use in many Police and Commercial laboratories in the UK and globally.

For commercial and legal clients, we have a range of advanced digital forensics capabilities which can provide accurate, legally admissible reports and evidence, and a wide range of other digital evidence related services. Our large, technically excellent team have significant experience in UK and several overseas jurisdictions including giving evidence in criminal and civil courts.

IntaForensics have pioneered a remote forensics solution to work for commercial organisations, enabling us to provide forensic analysts working remotely who can be deployed within minutes or hours rather than days. 

The company is certified by the Payment Card Industry Security Standards Council (PCI-SSC) as a Qualified Security Assessor Company (QSA) and advises clients on payment card data security.

The company is also certified by the PCI-SSC as a PCI Forensic Investigations company.

We operate from 4 secure UK laboratories (Leeds, Nuneaton, Stafford and Warrington) delivering highly responsive, advanced digital forensic investigations. Our service delivery capabilities are all delivered by National Security Cleared staff.

IntaForensics are accredited to:
- ISO 17025:2005 (required for digital forensics)
- ISO 9001:2015 (across all laboratories)
- ISO 27001:2013 (across all laboratories)
- Cyber Essentials Plus

We produce the Lima Digital Forensic Case Management system - is the winner of Awards in 2013/14/15 and 2016 including SC Magazine ""Lab Approved""? in the Digital Forensic Tools Group Test.",https://www.intaforensics.com,"['Digital Forensics', ' Forensic Consultancy & Assurance Services', ' Laboratory Consultancy & Training', ' Case Management Software', ' Remote Forensic Solutions', ' Computer Forensics', ' Mobile Phone Forensics', ' Cyber Security', ' Cyber Essentials', ' Incident Response', ' PCI DSS', ' PFI', ' and QSA']"
16,Atmel Corporation,Semiconductors,San Jose,CA,2911,Public Company,"Atmel has been acquired by Microchip Technology Inc., a leading provider of mixed-signal, analog and Flash-IP solutions that offers low-risk product development, lower total system cost and faster time to market for thousands of diverse customer applications worldwide. During this time of transition, please continue to visit www.atmel.com and www.microchip.com for the latest information on products and services from both organizations.",http://www.atmel.com,"['Microcontroller Solutions (8- and 32--bit)', ' Automotive Solutions', ' Touch Technology Solutions', ' Embedded Software - Studio 6', ' Wireless Solutions', ' and Internet of Things Solutions']"
17,Linear Technology,Semiconductors,Milpitas,CA,1455,Public Company,"On March 10, 2017, Linear Technology officially became part of Analog Devices. For more information, please follow the Analog Devices company page.",http://www.linear.com,"['Power Management', ' Data Conversion', ' Signal Conditioning', ' Interface', ' Wireless Sensor Networks', ' and Space & Harsh Environment']"
18,SanDisk,Semiconductors,Milpitas,CA,6166,Public Company,"SanDisk® has been expanding the possibilities of data storage for more than 25 years—giving businesses and consumers the peace of mind that comes from knowing their data is readily available and reliable, even in the most challenging environments. Our products are used in the world's leading-edge data centers, embedded in game-changing smartphones, tablets, and laptops, and entrusted by consumers around the world. 

As a vertically-integrated storage solution company, we are able to quickly deliver innovative, high-quality solutions with less time from research to realization. From mobile devices to hyperscale data centers, SanDisk storage solutions make the incredible possible.

If you’re interested in joining our team of innovators and industry influencers and to help shape the future of digital technology with a leading provider of flash memory storage solutions, check out our current openings and connect with us today.",http://www.sandisk.com,"['Flash Memory Storage', ' Memory Cards', ' Embedded Storage', ' USB Storage', ' Solid State Drives', ' Enterprise Software', ' and Software and Services']"
19,"LSI, an Avago Technologies Company",Semiconductors,San Jose,CA,2084,Public Company,"LSI is an Avago Technologies Company (NASDAQ: AVGO). Visit Avago on LinkedIn or www.avagotech.com for information on Avago's broad range of analog, digital, mixed signal and optoelectronics components and subsystems for the wireless communications, wired infrastructure, enterprise storage, and industrial and other markets.",http://www.lsi.com,"['Networking Silicon', ' Storage Silicon', ' Software', ' and Solutions', ' and Custom Silicon']"
20,Altera,Semiconductors,San Jose,CA,2241,Public Company,Altera Intel and Altera have joined forces. Keep up on how we're better together at our new LinkedIn page: https://lnkd.in/gdwcnyS,http://www.intel.com/content/www/us/en/fpga/solutions.html,"['FPGAs', ' CPLDs', ' ASICs', ' and and related design software and IP']"
21,Synapse Design Inc.,Semiconductors,Santa Clara,CA,432,Privately Held,"Since its founding in 2003, Synapse Designs'? specialized design and engineering services have made us the preferred partner to numerous top-tier semiconductor and systems companies around the world. We specialize in assisting our clients in developing cutting edge technologies for their next-generation flagship product lines. As digital, analog and firmware engineering experts, together with our customers, we create the most complex ASICs and SoC's in the industry. With headquarters in San Jose and operations in over a dozen other global sites, our wide range of locations provides more access, better affordability and a broader field of engineering talent to our dispersed clientele.",http://www.synapse-da.com,"['Design Services', ' Physical Design', ' Design Verification', ' Analog & Mixed Signal Design', ' Firmware', ' ASIC Design', ' SoC Design', ' Software Design', ' RTL Design', ' Embedded Software', ' System on a Chip', ' Semiconductor', ' Engineering', ' Semiconductor', ' Technology', ' Internet of Things', ' IoT', ' Cloud Computing', ' ARM Excellence', ' Security', ' Network Processors', ' Bluetooth', ' CPU', ' GPU', ' and Apps']"
22,Conexant,Semiconductors,Irvine,CA,875,Public Company,"Conexant, a leading provider of solutions for audio and voice-enabled applications, was acquired by Synaptics in July 2017. Nasdaq: SYNA. Committed to empowering customers to capture market success, we combine our significant IP portfolio in DSP and mixed signal technology with embedded software to deliver highly innovative software and silicon solutions to enrich and expand audio and imaging capabilities. ",http://www.conexant.com,"['Analog and mixed-signal technologies', ' firmware and software development', ' audio and voice DSP algorithims', ' 20+ years video IP and chip development', ' and and extensive applications knowledge.']"
23,Thin Film Electronics,Semiconductors,San Jose,CA,156,Public Company,"Thinfilm is a leading global provider of NFC mobile marketing solutions. The Company’s end-to-end solutions offering features hardware, label/packaging integration services, and the CNECT™ cloud-based software platform. Collectively, these components deliver a powerful 1-to-1 digital marketing solution through which brands of all sizes can connect directly with consumers, all with the simple tap of a smartphone. By removing the middlemen, such as search engines, online marketplaces, and social platforms, brands can control messaging, enhance consumer dialogue, build loyalty, increase engagement, and drive sales.

Thinfilm’s roadmap integrates technology from a strong and growing ecosystem of partners to bring intelligence to everyday, disposable items. Its mission is to effectively extend the traditional boundaries of the Internet of Things to fuel the Internet of Everything.

Thin Film Electronics ASA is a publicly listed company in Norway with global headquarters in Oslo, Norway; US headquarters in San Jose, California; and offices in Linköping, Sweden; San Francisco; London; Hamburg; Singapore; and Shanghai. For more information, visit www.thinfilmnfc.com.",http://www.thinfilmnfc.com,"['Printed Memories', ' Printed Electronics - Temperature Threshold Detection Smart Labels', ' Integrated Printed Systems', ' NFC enabled smart labels', ' Printed Sensor Devices', ' NFC OpenSense™', ' EAS Electronic Article Surveillance', ' NFC Mobile Marketing', ' and Mobile Marketing Software']"
24,Mellanox Technologies,Semiconductors,Sunnyvale,CA,2367,Public Company,"Mellanox Technologies (NASDAQ: MLNX) is a leading supplier of end-to-end InfiniBand and Ethernet interconnect solutions and services for servers and storage. Mellanox interconnect solutions increase data center efficiency by providing the highest throughput and lowest latency, delivering data faster to applications and unlocking system performance capability. 

Mellanox offers a choice of fast interconnect products: adapters, switches, software and silicon that accelerate application run time and maximize business results for a wide range of markets including high performance computing, enterprise data centers, Web 2.0, cloud, storage and financial services. More information is available at http://www.mellanox.com.

Founded in 1999, Mellanox Technologies is headquartered in Sunnyvale, California and Yokneam, Israel.",http://www.mellanox.com/,"['Networking', ' High Performance Computing (HPC)', ' InfiniBand', ' Low Latency', ' Cloud/Virtualization', ' Storage acceleration', ' Ethernet', ' and Web 2.0']"
25,Aircel,Telecommunications,Gurgaon,Haryana,11984,Privately Held,"Aircel is one of India’s leading innovative mobile service providers. The company has 3G spectrum in 13 circles and BWA spectrum in 8 circles and is credited with the fastest 3G roll out ever in the Indian telecom space. As a young data led telecom player, Aircel has constantly been at the helm of introducing innovative and value for money products and services for its customers, which are industry firsts, be it the Aircel Pocket Internet, taking the first step in making 3G affordable for the masses, being the first telecom player to introduce Facebook Voice Updates on Aircel, and many more. The Smart Pocket Internet data plans by Aircel truly changed the way mobile internet was perceived and consumed. The company has been the proud recipient of coveted awards such as Asia Responsible Entrepreneurship Awards (AREA) 2012 South Asia by Enterprise Asia, ‘Excellence Award for Security in Telecom 2012’ by Data Security Council of India (DSCI) an institution setup by NASSCOM® and ‘Best in class Learning and Development Awards’ for ‘Innovation in Learning’ and ‘Best Training Venue’ by World HRD Congress 2013. For more information, please log onto our website www.aircel.com.",http://www.aircel.com,['Pioneer in Mobile Technology and Mobile Services and Business Solutions']
26,PTCL.Official,Telecommunications,Islamabad,Islamabad,1193,Public Company,"Corporate Vision:

To be the leading Information and Communication Technology Service Provider in the region by achieving customer satisfaction and maximizing shareholders'? value'?.

Mission:

To achieve our vision by having:
An organizational environment that fosters professionalism, motivation and quality
An environment that is cost effective and quality conscious
Services that are based on the most optimum technology
""Quality""? and ""Time""? conscious customer service
Sustained growth in earnings and profitability

Core Values:

Professional Integrity
Customer Satisfaction
Teamwork
Company Loyalty

PTCL is all set to redefine the established boundaries of the telecommunication market and is shifting the productivity frontier to new heights. Today, for millions of people, we demand instant access to new products and ideas. More importantly we want them for their better living standards with increased values in this ever-shrinking globe of ours. We are setting free the spirit of innovation.

PTCL is going to be your first choice in the future as well, just as it has been over the past six decades.",http://www.ptcl.com.pk,"['Landline', ' Broadband Pakistan', ' EVO Wireless Broadband', ' and Smart TV (IPTV Services)']"
27,"Telecom Technology Services, Inc.",Telecommunications,Pleasanton,CA,769,Privately Held,"Telecom Technology Services, Inc. (TTS-Wireless) integrated approach to wireless engineering

Since 1997, integration has been the defining course in the approach we take to desiging & optimizing wireless systems. Beginning with our flagship tool, OptPCS, continues to integrate site information, network data, drive data, performance and monitoring data sources, as they come into the market to provide a complete and effective optimization tool.

Our commitment is to meet the demands of new technology, HSPA, LTE & WiMAX networks, to innovate new products, to provide carriers with packaged solutions and expert services, and to improve overall network KPIs allowing engineering departments to focus on network growth and efficiency.

Our engineers and project managers fuel the innovation and solutions at our clients and in-house to place us as an engineering leader in the wireless field.

http://www.linkedin.com/groups?mostPopular=&gid=1831116",http://www.ttswireless.com,"['Telecommunications', ' Consulting', ' Software', ' RF Engineering', ' UMTS', ' GSM', ' LTE', ' Optimization', ' Wireless', ' Design', ' In-Building', ' CDMA', ' VoLTE', ' iDAS/oDAS', ' RAN Engineering', ' C-RAN', ' Microwave', ' Network Visualization', ' Planning', ' Project Managment', ' IoT', ' 5G', ' and NB-IoT']"
28,Virtela Technology Services Incorporated (An NTT Communications Company),Telecommunications,Greenwood Village,CO,689,Privately Held,"Virtela, recognized by more than 100 awards for outstanding service innovation and customer support, is the smart alternative to traditional global carriers and equipment vendors for enterprise networking and virtualized IT services. The company delivers services via its Virtualized Overlay Network and Virtela Enterprise Services Cloud (ESC) platform, which enables the transition of branch office networking and security services to the cloud. Virtela gives enterprises the benefit of “asset-light” software-defined networking that delivers up to 80% cost savings in upfront capital and 30% savings in ongoing operating expenses.
 
Virtela is headquartered in Denver, Colorado, with global support centers around the world. For more information, visit www.virtela.net.",http://www.virtela.net,"['Cloud', ' Network', ' Security', ' Mobility', ' and IT Infrastructure Management']"
