,industries,link
200,Entertainment,/company/6593/
201,Computer Software,/company/1666/
202,Retail,/company/3671/
203,Computer Software,/company/3398/
204,Computer Software,/company/6137/
205,Information Technology and Services,/company/1281/
206,Computer Software,/company/2457/
207,Industrial Automation,/company/2498/
208,Information Technology and Services,/company/3128/
209,Design,/company/163904/
210,Information Technology and Services,/company/4301/
211,Internet,/company/26479/
212,Consumer Electronics,/company/631686/
213,Information Technology and Services,/company/3065/
214,Information Technology and Services,/company/4972/
215,Information Technology and Services,/company/3495/
216,Media Production,/company/204617/
217,Computer Software,/company/25237/
218,Telecommunications,/company/5226/
219,Computer Software,/company/165426/
220,Financial Services,/company/2494/
221,Computer Software,/company/166185/
222,Computer Software,/company/3643/
223,Computer Software,/company/3720/
224,Financial Services,/company/3676/
225,E-Learning,/company/39939/
226,Human Resources,/company/4255/
227,Internet,/company/4162/
228,Information Technology and Services,/company/9308035/
229,Computer Software,/company/4929/
230,Consumer Electronics,/company/6419/
231,Telecommunications,/company/3960/
232,Information Technology and Services,/company/24440/
233,Computer Software,/company/5311/
234,Consumer Electronics,/company/27333/
235,Internet,/company/54178/
236,Oil & Energy,/company/17208/
237,Management Consulting,/company/5240/
238,Computer Networking,/company/7796/
239,Computer Software,/company/9956/
240,Information Technology and Services,/company/36655/
241,Telecommunications,/company/1539/
242,Computer Software,/company/3719/
243,Information Technology and Services,/company/167024/
244,Computer Software,/company/20708/
245,Information Technology and Services,/company/8141/
246,Entertainment,/company/5329/
247,Information Technology and Services,/company/2305/
248,Semiconductors,/company/4691/
249,Internet,/company/8095/
250,Computer Software,/company/163166/
251,Information Technology and Services,/company/10800/
252,Information Technology and Services,/company/4458/
253,Computer Software,/company/4303/
254,Information Technology and Services,/company/4863/
255,Computer Software,/company/13948/
256,Computer Software,/company/1976/
257,Computer Software,/company/1372/
258,Airlines/Aviation,/company/2110/
259,Hospital & Health Care,/company/9703/
260,Computer Software,/company/62953/
261,Telecommunications,/company/162522/
262,Semiconductors,/company/3864/
263,Information Technology and Services,/company/9089/
264,Computer Software,/company/1126781/
265,Computer Software,/company/14650/
266,Venture Capital & Private Equity,/company/17412/
267,Information Technology and Services,/company/8950/
268,Computer Software,/company/163658/
269,Computer Software,/company/164008/
270,Telecommunications,/company/3218/
271,Information Technology and Services,/company/165636/
272,Information Technology and Services,/company/24123/
273,Information Services,/company/7401/
274,Information Technology and Services,/company/2113/
275,Internet,/company/216295/
276,Automotive,/company/2387/
277,Internet,/company/167624/
278,Business Supplies and Equipment,/company/2193/
279,Marketing and Advertising,/company/165676/
280,Staffing and Recruiting,/company/10618/
281,Consumer Electronics,/company/1253/
282,Computer Software,/company/18125/
283,Computer Software,/company/2828/
284,Computer Software,/company/20226/
285,Information Technology and Services,/company/3667/
286,Staffing and Recruiting,/company/2859032/
287,Internet,/company/621453/
288,Information Technology and Services,/company/163755/
289,Computer Software,/company/4728/
290,Computer Software,/company/6506/
291,Computer Software,/company/1194036/
292,Computer Software,/company/228296/
293,Human Resources,/company/3169/
294,Information Technology and Services,/company/38373/
295,Financial Services,/company/165033/
296,Transportation/Trucking/Railroad,/company/8127/
297,Computer Networking,/company/80069/
298,Computer Software,/company/735085/
299,Electrical/Electronic Manufacturing,/company/3433/
300,Information Technology and Services,/company/2008/
301,Online Media,/company/45938/
302,Computer Software,/company/1491/
303,Computer Software,/company/2697/
304,Research,/company/166880/
305,Biotechnology,/company/7963/
306,Consumer Electronics,/company/2374003/
307,Telecommunications,/company/1494/
308,Computer Games,/company/12908/
309,Computer Software,/company/6536/
310,Financial Services,/company/306019/
311,Computer Software,/company/2157/
312,Information Technology and Services,/company/1457/
313,Internet,/company/66719/
314,Computer Software,/company/64251/
315,Construction,/company/1004608/
316,Information Technology and Services,/company/3804356/
317,Telecommunications,/company/1995/
318,Information Technology and Services,/company/166946/
319,Computer Software,/company/3752/
320,Computer Hardware,/company/3653/
321,Computer Software,/company/5063/
322,Publishing,/company/14380/
323,Retail,/company/8359/
324,Computer Networking,/company/4761/
325,Computer Software,/company/162724/
326,Defense & Space,/company/1336/
327,Financial Services,/company/3994/
328,Computer Software,/company/19664/
329,Computer Software,/company/601919/
330,Construction,/company/4205/
331,Computer Software,/company/1711/
332,Electrical/Electronic Manufacturing,/company/2329/
333,Internet,/company/48433/
334,Information Technology and Services,/company/2602953/
335,Information Technology and Services,/company/1318/
336,Computer Software,/company/5034/
337,Consumer Electronics,/company/164236/
338,Consumer Electronics,/company/6229/
339,Information Services,/company/2534/
340,Information Technology and Services,/company/157356/
341,Computer Software,/company/4312/
342,Entertainment,/company/1254/
343,Information Technology and Services,/company/5300/
344,Information Technology and Services,/company/30903/
345,Computer Software,/company/8699/
346,Semiconductors,/company/4472/
347,Computer Software,/company/5141/
348,Information Technology and Services,/company/217495/
349,Internet,/company/200200/
350,Information Technology and Services,/company/7190/
351,Public Safety,/company/8270/
352,Aviation & Aerospace,/company/4256/
353,Information Technology and Services,/company/166474/
354,Computer Software,/company/22688/
355,Information Technology and Services,/company/5930/
356,Information Technology and Services,/company/5521/
357,Telecommunications,/company/1070/
358,Defense & Space,/company/4901/
359,Information Services,/company/2483/
360,Financial Services,/company/3305/
361,Automotive,/company/4134/
362,Information Technology and Services,/company/222111/
363,Computer Software,/company/19831/
364,Public Safety,/company/4721/
365,Information Technology and Services,/company/165895/
366,Medical Devices,/company/1517/
367,Computer Software,/company/148772/
368,Information Technology and Services,/company/223829/
369,Information Technology and Services,/company/1353/
370,Information Technology and Services,/company/4300/
371,Information Services,/company/9173/
372,Translation and Localization,/company/3117/
373,Security and Investigations,/company/23030/
374,Staffing and Recruiting,/company/237976/
375,Information Technology and Services,/company/7083/
376,Information Technology and Services,/company/5450/
377,Entertainment,/company/23324/
378,International Trade and Development,/company/7652/
379,Facilities Services,/company/3402/
380,Motion Pictures and Film,/company/4743/
381,Information Technology and Services,/company/16440/
382,Information Technology and Services,/company/27862/
383,Research,/company/4951/
384,Computer Software,/company/165652/
385,Information Technology and Services,/company/1592/
386,Staffing and Recruiting,/company/4977921/
387,Electrical/Electronic Manufacturing,/company/5160/
388,Internet,/company/290105/
389,Computer Software,/company/2802/
390,Staffing and Recruiting,/company/89989/
391,Information Technology and Services,/company/10906/
392,Nonprofit Organization Management,/company/853178/
393,Outsourcing/Offshoring,/company/3934/
394,Computer Software,/company/20365/
395,Information Technology and Services,/company/209557/
396,Information Technology and Services,/company/2683/
397,Information Technology and Services,/company/208716/
398,Computer Software,/company/3229/
399,Computer Software,/company/9183/
400,Information Technology and Services,/company/1374/
401,Defense & Space,/company/1951/
402,Information Technology and Services,/company/902824/
403,Human Resources,/company/268046/
404,Staffing and Recruiting,/company/56415/
405,Automotive,/company/3534/
406,Information Technology and Services,/company/1892/
407,Information Technology and Services,/company/4559/
408,Staffing and Recruiting,/company/14416/
409,Information Technology and Services,/company/133807/
410,Industrial Automation,/company/3368/
411,Computer Games,/company/13922/
412,Computer Software,/company/202448/
413,Semiconductors,/company/3894/
414,Computer Games,/company/17044/
415,Computer Software,/company/2709/
416,Automotive,/company/293939/
417,Information Technology and Services,/company/205701/
418,Information Technology and Services,/company/586240/
419,Telecommunications,/company/2712/
420,Public Safety,/company/4411/
421,Staffing and Recruiting,/company/660732/
422,Broadcast Media,/company/11402/
423,Information Technology and Services,/company/2746/
424,Internet,/company/2300557/
425,Motion Pictures and Film,/company/165049/
426,Mechanical or Industrial Engineering,/company/1739031/
427,Mechanical or Industrial Engineering,/company/3501525/
428,Computer Software,/company/50780/
429,Biotechnology,/company/162715/
430,Computer & Network Security,/company/2418112/
431,Staffing and Recruiting,/company/24989/
432,Information Technology and Services,/company/162214/
433,Business Supplies and Equipment,/company/2195/
434,Biotechnology,/company/8276/
435,Consumer Electronics,/company/1329914/
436,Electrical/Electronic Manufacturing,/company/2688536/
437,Design,/company/6307/
438,Outsourcing/Offshoring,/company/17312/
439,Information Technology and Services,/company/2354992/
440,Computer Software,/company/21370/
441,Financial Services,/company/1444949/
442,Information Technology and Services,/company/164632/
443,Staffing and Recruiting,/company/149641/
444,Information Technology and Services,/company/162838/
445,Information Technology and Services,/company/165344/
446,Internet,/company/12227/
447,Oil & Energy,/company/302489/
448,Mechanical or Industrial Engineering,/company/2508619/
449,Computer Software,/company/162287/
450,Design,/company/6018/
451,Computer Software,/company/4014/
452,Electrical/Electronic Manufacturing,/company/368428/
453,Information Technology and Services,/company/3054/
454,Information Technology and Services,/company/1956/
455,Information Technology and Services,/company/3124/
456,Computer Software,/company/43587/
457,Computer Hardware,/company/5110/
458,Computer Software,/company/163801/
459,Environmental Services,/company/13901/
460,Electrical/Electronic Manufacturing,/company/7099/
461,Telecommunications,/company/3014/
462,Defense & Space,/company/3339/
463,Information Technology and Services,/company/7062/
464,Machinery,/company/107854/
465,Electrical/Electronic Manufacturing,/company/39031/
466,Information Technology and Services,/company/5351/
467,Computer Software,/company/9505/
468,Medical Devices,/company/12517/
469,Electrical/Electronic Manufacturing,/company/1001/
470,Wireless,/company/7138/
471,Translation and Localization,/company/13299/
472,Information Technology and Services,/company/3822634/
473,Higher Education,/company/19907/
474,Financial Services,/company/164006/
475,Computer Software,/company/37759/
476,Information Technology and Services,/company/144033/
477,Consumer Electronics,/company/56737/
478,Information Technology and Services,/company/253037/
479,Consumer Electronics,/company/2763277/
480,Information Technology and Services,/company/798671/
481,Computer Software,/company/7684/
482,Information Technology and Services,/company/6549/
483,Financial Services,/company/163719/
484,Computer Software,/company/155936/
485,Computer Software,/company/163414/
486,Internet,/company/19857/
487,Airlines/Aviation,/company/22114/
488,Computer Software,/company/435210/
489,Internet,/company/2508846/
490,Medical Devices,/company/13727/
491,Computer Software,/company/34924/
492,Computer Software,/company/3102723/
493,Computer Software,/company/167457/
494,Computer Software,/company/814025/
495,Financial Services,/company/6970/
496,Electrical/Electronic Manufacturing,/company/15544/
497,Internet,/company/3121734/
498,Computer Software,/company/10043/
499,Computer Software,/company/10003324/
500,Information Technology and Services,/company/472943/
501,Computer Software,/company/72493/
502,Computer Software,/company/8084/
503,Information Technology and Services,/company/2536305/
504,Computer Software,/company/250673/
505,Internet,/company/1053555/
506,Computer Software,/company/12674/
507,Computer Software,/company/164405/
508,Computer Software,/company/2098890/
509,Information Technology and Services,/company/162909/
510,Human Resources,/company/24614/
511,Automotive,/company/166018/
512,Computer Software,/company/7994/
513,Information Technology and Services,/company/1377014/
514,Computer Software,/company/10620/
515,Staffing and Recruiting,/company/729369/
516,Internet,/company/2857634/
517,Staffing and Recruiting,/company/488281/
518,Investment Management,/company/27915/
519,Staffing and Recruiting,/company/243339/
520,Computer Software,/company/167056/
521,Staffing and Recruiting,/company/243413/
522,Mechanical or Industrial Engineering,/company/14578/
523,Internet,/company/164423/
524,Public Relations and Communications,/company/163054/
525,Computer Software,/company/528338/
526,Electrical/Electronic Manufacturing,/company/7172/
527,Internet,/company/93902/
528,Security and Investigations,/company/166128/
529,Computer Software,/company/2696602/
530,Information Technology and Services,/company/3538/
531,Consumer Electronics,/company/9860/
532,Information Technology and Services,/company/10028/
533,Computer Software,/company/42640/
534,Internet,/company/53454/
535,Computer Software,/company/1523656/
536,Computer Software,/company/1912597/
537,Internet,/company/362798/
538,Computer Software,/company/26630/
539,Information Technology and Services,/company/208777/
540,"Health, Wellness and Fitness",/company/1580750/
541,Marketing and Advertising,/company/16377/
542,Computer Software,/company/6959/
543,Marketing and Advertising,/company/1843/
544,Defense & Space,/company/163385/
545,Computer Software,/company/17751/
546,Information Technology and Services,/company/697992/
547,Computer Hardware,/company/24985/
548,Information Technology and Services,/company/125705/
549,Information Technology and Services,/company/11889/
550,Education Management,/company/435054/
551,Translation and Localization,/company/18292/
552,Hospitality,/company/164290/
553,Human Resources,/company/2997680/
554,Computer Software,/company/29762/
555,Computer Software,/company/1695378/
556,Computer Software,/company/585273/
557,Computer Software,/company/551073/
558,Computer Software,/company/7584467/
559,Computer Software,/company/861307/
560,Computer Software,/company/9659/
561,Telecommunications,/company/459293/
562,Electrical/Electronic Manufacturing,/company/10699418/
563,Information Technology and Services,/company/10951/
564,Internet,/company/18679/
565,Market Research,/company/166393/
566,Computer Software,/company/66028/
567,Computer Software,/company/13179/
568,Biotechnology,/company/30702/
569,Information Technology and Services,/company/136654/
570,Computer Software,/company/208639/
571,Financial Services,/company/219483/
572,Information Technology and Services,/company/11679/
573,Information Technology and Services,/company/10882/
574,Computer Software,/company/1478780/
575,Computer Software,/company/29548/
576,Computer Software,/company/44361/
577,Information Technology and Services,/company/163367/
578,Professional Training & Coaching,/company/164004/
579,Computer Software,/company/15671/
580,Information Technology and Services,/company/6454/
581,Information Technology and Services,/company/162986/
582,Higher Education,/company/19888/
583,Computer Software,/company/102165/
584,Publishing,/company/974366/
585,Industrial Automation,/company/725407/
586,Computer Software,/company/21867/
587,Financial Services,/company/7226/
588,Logistics and Supply Chain,/company/5264/
589,Computer Software,/company/1584738/
590,Internet,/company/2641084/
591,Financial Services,/company/1471241/
592,Computer Software,/company/103315/
593,Information Technology and Services,/company/7689/
594,Computer Software,/company/574962/
595,Computer Software,/company/299151/
596,Information Technology and Services,/company/804638/
597,Information Technology and Services,/company/3051933/
598,Security and Investigations,/company/22877/
599,Staffing and Recruiting,/company/47040/
600,Computer Software,/company/20577/
601,Internet,/company/150573/
602,Medical Devices,/company/42221/
603,Information Technology and Services,/company/5351527/
604,Marketing and Advertising,/company/7112/
605,Medical Devices,/company/11263/
606,Information Technology and Services,/company/83609/
607,Industrial Automation,/company/7453/
608,Computer Software,/company/40563/
609,Oil & Energy,/company/9075/
610,Computer Software,/company/13156/
611,Internet,/company/60540/
612,Marketing and Advertising,/company/167789/
613,Medical Devices,/company/10688/
614,Information Technology and Services,/company/72468/
615,Computer Software,/company/5009071/
616,Management Consulting,/company/166498/
617,Mechanical or Industrial Engineering,/company/737181/
618,Staffing and Recruiting,/company/80586/
619,Marketing and Advertising,/company/127551/
620,Renewables & Environment,/company/1166433/
621,Computer Software,/company/11447/
622,Computer Software,/company/13633/
623,Public Relations and Communications,/company/12052/
624,Staffing and Recruiting,/company/26823/
625,Computer Software,/company/26255/
626,Design,/company/210874/
627,Computer Software,/company/8802/
628,Staffing and Recruiting,/company/626840/
629,Computer Software,/company/148828/
630,Staffing and Recruiting,/company/101118/
631,Computer Software,/company/2049060/
632,Computer Software,/company/1116775/
633,Electrical/Electronic Manufacturing,/company/2609/
634,Information Technology and Services,/company/2235617/
635,Information Technology and Services,/company/85516/
636,Staffing and Recruiting,/company/3588039/
637,Internet,/company/49318/
638,Construction,/company/2943678/
639,Information Technology and Services,/company/10950962/
640,Internet,/company/974353/
641,Oil & Energy,/company/585020/
642,Computer Software,/company/8822/
643,Information Technology and Services,/company/6023/
644,Information Technology and Services,/company/21541/
645,Nonprofit Organization Management,/company/19499/
646,Oil & Energy,/company/15031/
647,Public Safety,/company/18008436/
648,Information Technology and Services,/company/618323/
649,Hospital & Health Care,/company/2756204/
650,Staffing and Recruiting,/company/33672/
651,Financial Services,/company/10208395/
652,Computer Software,/company/142536/
653,Computer Software,/company/2510344/
654,Information Technology and Services,/company/2487/
655,Information Technology and Services,/company/235348/
656,Information Technology and Services,/company/52717/
657,Computer Software,/company/25664/
658,Information Technology and Services,/company/27383/
659,Computer Software,/company/2464624/
660,Higher Education,/company/38169/
661,Computer Software,/company/5099/
662,Computer Software,/company/3905/
663,Semiconductors,/company/1006448/
664,Information Technology and Services,/company/594036/
665,Medical Devices,/company/28209/
666,Industrial Automation,/company/59732/
667,Public Safety,/company/71228/
668,Management Consulting,/company/217546/
669,Internet,/company/167882/
670,Computer Software,/company/82914/
671,Information Technology and Services,/company/95589/
672,Information Technology and Services,/company/102844/
673,Internet,/company/8206/
674,Computer Software,/company/25027079/
675,Information Technology and Services,/company/51233/
676,Internet,/company/95056/
677,Information Technology and Services,/company/815008/
678,Information Technology and Services,/company/1410999/
679,Financial Services,/company/2499210/
680,Information Technology and Services,/company/100608/
681,Human Resources,/company/34681/
682,Information Technology and Services,/company/6142/
683,Computer Networking,/company/1011021/
684,Automotive,/company/454027/
685,Information Technology and Services,/company/293443/
686,Information Technology and Services,/company/446503/
687,Publishing,/company/16883/
688,Computer Software,/company/47456/
689,Computer Software,/company/1876917/
690,Logistics and Supply Chain,/company/29441/
691,Biotechnology,/company/8841/
692,Broadcast Media,/company/37660/
693,Staffing and Recruiting,/company/354870/
694,Information Technology and Services,/company/11350/
695,Computer Software,/company/33617/
696,Electrical/Electronic Manufacturing,/company/76761/
697,Information Technology and Services,/company/11942/
698,Computer Hardware,/company/1972/
699,Information Technology and Services,/company/1327672/
700,Computer Software,/company/165006/
701,Information Technology and Services,/company/12824/
702,Hospital & Health Care,/company/39754/
703,Internet,/company/1090735/
704,Accounting,/company/61013/
705,Computer Software,/company/7892/
706,Information Technology and Services,/company/2684883/
707,Computer Networking,/company/137040/
708,Computer Software,/company/439853/
709,Information Technology and Services,/company/32855/
710,Computer Software,/company/2627405/
711,Computer Hardware,/company/164413/
712,Computer Software,/company/1279563/
713,Computer Software,/company/612239/
714,Machinery,/company/38885/
715,Computer Software,/company/32178/
716,Computer Networking,/company/146728/
717,Information Technology and Services,/company/6205/
718,Financial Services,/company/10309335/
719,Information Technology and Services,/company/78020/
720,Computer Software,/company/111265/
721,Computer Software,/company/2850196/
722,Computer Software,/company/21377/
723,Management Consulting,/company/162240/
724,Computer Software,/company/42206/
725,Computer Software,/company/2851534/
726,Translation and Localization,/company/226458/
727,Telecommunications,/company/24033/
728,Computer Software,/company/11841/
729,Computer Software,/company/41691/
730,Computer Software,/company/2871784/
731,Staffing and Recruiting,/company/759395/
732,Information Technology and Services,/company/1561782/
733,Computer Software,/company/25736/
734,Consumer Electronics,/company/357459/
735,Oil & Energy,/company/10223057/
736,Staffing and Recruiting,/company/1279270/
737,Computer Software,/company/11855/
738,Computer Software,/company/9223/
739,Staffing and Recruiting,/company/122628/
740,Staffing and Recruiting,/company/743843/
741,Computer Software,/company/28289/
742,Computer Software,/company/10184/
743,Staffing and Recruiting,/company/2746223/
744,Computer Hardware,/company/39185/
745,Computer Software,/company/165972/
746,Computer Software,/company/16827/
747,Information Technology and Services,/company/27961/
748,Internet,/company/13146/
749,Internet,/company/2507852/
750,Information Technology and Services,/company/2632918/
751,Computer Software,/company/804502/
752,Information Technology and Services,/company/164443/
753,Computer Software,/company/33241/
754,Staffing and Recruiting,/company/480758/
755,Information Services,/company/21924/
756,Staffing and Recruiting,/company/19626/
757,Computer Software,/company/96914/
758,Management Consulting,/company/17604/
759,Consumer Electronics,/company/60061/
760,Staffing and Recruiting,/company/3333693/
761,Computer & Network Security,/company/27845/
762,Computer Software,/company/162482/
763,Aviation & Aerospace,/company/298867/
764,Information Technology and Services,/company/7306/
765,Computer Software,/company/23291/
766,Investment Banking,/company/59734/
767,Computer Software,/company/608678/
768,Computer Software,/company/4859/
769,E-Learning,/company/3761108/
770,Oil & Energy,/company/165183/
771,Computer Software,/company/835110/
772,Information Technology and Services,/company/2279112/
773,Construction,/company/65533/
774,Logistics and Supply Chain,/company/55542/
775,Computer Software,/company/162929/
776,Computer Software,/company/775402/
777,Computer Software,/company/48576/
778,Computer Software,/company/2666416/
779,Computer Software,/company/6131/
780,Logistics and Supply Chain,/company/5212/
781,Computer Software,/company/11829/
782,Staffing and Recruiting,/company/45872/
783,Computer Software,/company/201767/
784,Information Technology and Services,/company/67662/
785,Telecommunications,/company/10654/
786,Information Technology and Services,/company/15246602/
787,Education Management,/company/201287/
788,Information Technology and Services,/company/439801/
789,Electrical/Electronic Manufacturing,/company/3663133/
790,Information Technology and Services,/company/165207/
791,Human Resources,/company/2541857/
792,Computer Software,/company/20931/
793,Information Technology and Services,/company/784549/
794,Consumer Electronics,/company/50928/
795,Internet,/company/3254533/
796,Computer Software,/company/12127/
797,Design,/company/72608/
798,Industrial Automation,/company/2467378/
799,Information Technology and Services,/company/166814/
800,Computer Software,/company/404295/
801,Computer Software,/company/276748/
802,Computer Software,/company/414478/
803,Semiconductors,/company/3212/
804,Oil & Energy,/company/13218/
805,Warehousing,/company/2700167/
806,Information Technology and Services,/company/21482/
807,Information Technology and Services,/company/22003/
808,Industrial Automation,/company/9990/
809,Information Technology and Services,/company/136943/
810,Computer Software,/company/97120/
811,Computer Software,/company/26909/
812,Marketing and Advertising,/company/236111/
813,Computer Software,/company/162250/
814,Computer & Network Security,/company/163214/
815,Computer Software,/company/6816/
816,Information Technology and Services,/company/51661/
817,Information Technology and Services,/company/40059/
818,Pharmaceuticals,/company/54577/
819,Computer Software,/company/240588/
820,Computer Software,/company/276981/
821,Staffing and Recruiting,/company/60798/
822,Higher Education,/company/47856/
823,Information Technology and Services,/company/67263/
824,Computer Software,/company/2830282/
825,Information Technology and Services,/company/34149/
826,Information Technology and Services,/company/6833/
827,Computer Software,/company/24730/
828,Staffing and Recruiting,/company/40714/
829,Computer Software,/company/3607/
830,Design,/company/219573/
831,Information Technology and Services,/company/45827/
832,Translation and Localization,/company/125052/
833,Computer Software,/company/14218/
834,Fund-Raising,/company/529191/
835,Environmental Services,/company/19283/
836,Information Technology and Services,/company/3105933/
837,Information Technology and Services,/company/49268/
838,Semiconductors,/company/109490/
839,Computer Software,/company/6885/
